from,to,change_magnitude,novelty_density
CableCar,CityRoadTest,0.062267839908599854,0.05518119037151337
CableCar,HyderPark,0.025678515434265137,0.08442804962396622
CableCar,Lift,0.12022364139556885,0.49294784665107727
CableCar,M4Highway,0.02176213264465332,0.08330006897449493
CableCar,RuralLoop,0.06905794143676758,0.054419249296188354
CableCar,SckyScarper,0.007596850395202637,0.07735966891050339
CableCar,StarBuck,0.08993768692016602,0.049488868564367294
CableCar,TimesRiver,0.10748326778411865,0.04947032406926155
CableCar,Underground,0.002211153507232666,0.06073017418384552
CityRoadTest,CableCar,0.062267839908599854,0.05932346358895302
CityRoadTest,HyderPark,0.15565818548202515,0.09703809767961502
CityRoadTest,Lift,0.10997605323791504,0.3954774737358093
CityRoadTest,M4Highway,0.021854758262634277,0.08509636670351028
CityRoadTest,RuralLoop,0.013972878456115723,0.046130046248435974
CityRoadTest,SckyScarper,0.08365517854690552,0.07737445831298828
CityRoadTest,StarBuck,0.007799029350280762,0.049496039748191833
CityRoadTest,TimesRiver,0.007495701313018799,0.04302297532558441
CityRoadTest,Underground,0.07404780387878418,0.06564339250326157
HyderPark,CableCar,0.025678515434265137,0.06460926681756973
HyderPark,CityRoadTest,0.15565818548202515,0.06337827444076538
HyderPark,Lift,0.1874457597732544,0.4907177686691284
HyderPark,M4Highway,0.08300650119781494,0.07192923128604889
HyderPark,RuralLoop,0.1664259433746338,0.06079031899571419
HyderPark,SckyScarper,0.01647019386291504,0.06911411136388779
HyderPark,StarBuck,0.18766987323760986,0.058337267488241196
HyderPark,TimesRiver,0.22224318981170654,0.05309910327196121
HyderPark,Underground,0.017958402633666992,0.06773778796195984
Lift,CableCar,0.12022364139556885,0.08809129893779755
Lift,CityRoadTest,0.10997605323791504,0.06864767521619797
Lift,HyderPark,0.1874457597732544,0.10399415343999863
Lift,M4Highway,0.09443783760070801,0.09610709547996521
Lift,RuralLoop,0.0968208909034729,0.06723755598068237
Lift,SckyScarper,0.1468881368637085,0.08834869414567947
Lift,StarBuck,0.13787013292312622,0.06354507803916931
Lift,TimesRiver,0.12432634830474854,0.05502782016992569
Lift,Underground,0.13275110721588135,0.09114634990692139
M4Highway,CableCar,0.02176213264465332,0.06350095570087433
M4Highway,CityRoadTest,0.021854758262634277,0.056782808154821396
M4Highway,HyderPark,0.08300650119781494,0.07083120942115784
M4Highway,Lift,0.09443783760070801,0.48436492681503296
M4Highway,RuralLoop,0.019621312618255615,0.05447779595851898
M4Highway,SckyScarper,0.040604591369628906,0.07624681293964386
M4Highway,StarBuck,0.046451687812805176,0.05456814169883728
M4Highway,TimesRiver,0.044780850410461426,0.04969744756817818
M4Highway,Underground,0.031765758991241455,0.06699464470148087
RuralLoop,CableCar,0.06905794143676758,0.05997917428612709
RuralLoop,CityRoadTest,0.013972878456115723,0.05121789500117302
RuralLoop,HyderPark,0.1664259433746338,0.08380768448114395
RuralLoop,Lift,0.0968208909034729,0.42872264981269836
RuralLoop,M4Highway,0.019621312618255615,0.07955717295408249
RuralLoop,SckyScarper,0.10446447134017944,0.08178342133760452
RuralLoop,StarBuck,0.038637399673461914,0.05161614343523979
RuralLoop,TimesRiver,0.015715062618255615,0.04353063181042671
RuralLoop,Underground,0.08844876289367676,0.06075951084494591
SckyScarper,CableCar,0.007596850395202637,0.08198356628417969
SckyScarper,CityRoadTest,0.08365517854690552,0.07781688868999481
SckyScarper,HyderPark,0.01647019386291504,0.0992058739066124
SckyScarper,Lift,0.1468881368637085,0.5037754774093628
SckyScarper,M4Highway,0.040604591369628906,0.10609650611877441
SckyScarper,RuralLoop,0.10446447134017944,0.08658671379089355
SckyScarper,StarBuck,0.10328161716461182,0.06052620708942413
SckyScarper,TimesRiver,0.1364666223526001,0.06794804334640503
SckyScarper,Underground,0.0028321146965026855,0.07844136655330658
StarBuck,CableCar,0.08993768692016602,0.12211070209741592
StarBuck,CityRoadTest,0.007799029350280762,0.1051679477095604
StarBuck,HyderPark,0.18766987323760986,0.13104824721813202
StarBuck,Lift,0.13787013292312622,0.5177958607673645
StarBuck,M4Highway,0.046451687812805176,0.13637720048427582
StarBuck,RuralLoop,0.038637399673461914,0.12390975654125214
StarBuck,SckyScarper,0.10328161716461182,0.10289334505796432
StarBuck,TimesRiver,0.012181639671325684,0.0954437106847763
StarBuck,Underground,0.09764134883880615,0.10381443798542023
TimesRiver,CableCar,0.10748326778411865,0.06863948702812195
TimesRiver,CityRoadTest,0.007495701313018799,0.05717979744076729
TimesRiver,HyderPark,0.22224318981170654,0.0913287103176117
TimesRiver,Lift,0.12432634830474854,0.47388121485710144
TimesRiver,M4Highway,0.044780850410461426,0.08195244520902634
TimesRiver,RuralLoop,0.015715062618255615,0.05196629464626312
TimesRiver,SckyScarper,0.1364666223526001,0.07750873267650604
TimesRiver,StarBuck,0.012181639671325684,0.053840842097997665
TimesRiver,Underground,0.1241457462310791,0.07445929944515228
Underground,CableCar,0.002211153507232666,0.062469739466905594
Underground,CityRoadTest,0.07404780387878418,0.0635620728135109
Underground,HyderPark,0.017958402633666992,0.08429756760597229
Underground,Lift,0.13275110721588135,0.4973319470882416
Underground,M4Highway,0.031765758991241455,0.08688754588365555
Underground,RuralLoop,0.08844876289367676,0.06204533204436302
Underground,SckyScarper,0.0028321146965026855,0.07835663110017776
Underground,StarBuck,0.09764134883880615,0.04335455968976021
Underground,TimesRiver,0.1241457462310791,0.05567203834652901
